Position,Match Day,Estadistica,Distance (m),"Speed Zones (m) [0.0, 6.0]km/h (m)",Abs HSR(m),Sprint Abs (m),Sprint Rel (m),Explosive Dist (m),Max Acceleration,Accelerations,Decelerations,Dif. ACC/DEC,Step Balance (%),Total impacts,Distance (m) diff,"Speed Zones (m) [0.0, 6.0]km/h (m) diff",Abs HSR(m) diff,Sprint Abs (m) diff,Sprint Rel (m) diff,Explosive Dist (m) diff,Max Acceleration diff,Accelerations diff,Decelerations diff,Dif. ACC/DEC diff,Step Balance (%) diff,Total impacts diff
Extremo,+1 MD,median,3468.447313128785,1719.3146362304701,36.55016195480725,9.422212924679036,0.0,508.11415332240847,4.022626179436645,1737.0,1745.0,1.0,0.008358373251449523,8230.0,36.62,54.09,6.2,3.67,,45.33,82.49,71.09,71.28,-6.45,59.7,42.6
Extremo,+1 MD,max,5055.2979820555,2491.41552734375,474.239239661351,343.045446837817,11.0480471277418,691.749252204994,6.95098899781503,2240.0,2238.0,12.0,0.0277700231883943,11614.0,39.3,44.38,42.3,47.76,27.0,45.03,88.7,59.67,59.66,109.09,58.96,40.04
Extremo,+1 MD,min,1543.8010974620802,373.812896728516,0.0,0.0,0.0,33.405636697151195,1.9821528488337399,581.0,586.0,-23.0,-0.049319943720207905,1771.0,71.37,53.41,0.0,0.0,,12.63,57.76,119.3,120.82,31.51,181.2,46.1
Extremo,+1 MD,p75,4517.43638198673,2033.92626953125,177.488419515593,43.6596732394021,0.0,586.861531198897,4.48641414694514,1986.0,2007.0,6.0,0.0214505587713412,9720.0,42.33,48.31,22.89,12.98,,45.52,84.88,64.09,64.43,-120.0,89.03,46.98
Extremo,+1 MD,p90,4620.34767794966,2158.21704101563,365.060315724835,71.2047287764262,0.0,629.353435494369,4.74143520700009,2088.0,2097.0,7.0,0.0253223221373739,10213.0,41.5,47.08,38.9,12.87,,44.44,79.92,60.7,61.15,,76.78,42.08
Extremo,+1 MD,p95,4851.92920137647,2353.091796875,463.504774083166,117.728143775368,0.0,641.97113903599,4.84790402480247,2211.0,2217.0,10.0,0.0255942684986745,10257.0,42.18,49.06,48.23,20.8,0.0,43.91,74.99,64.03,63.78,500.0,68.95,39.95
Lateral,-3 MD,mean,5357.844488720207,2081.2029829181633,308.6706614760614,124.17509794408997,1.0016199712895542,647.7387073642234,4.5949112174219975,2316.4918032786886,2333.1147540983607,-1.180327868852459,0.0036957333119841183,10210.344262295082,58.48,60.33,63.56,60.79,58.43,61.51,93.63,88.3,88.52,8.64,35.55,59.22
Lateral,-3 MD,median,5563.10013627802,2062.6416015625,328.803404134602,123.82256022757,0.0,656.3471958663,4.61007139999859,2362.0,2368.0,-1.0,0.00212943000714863,9882.0,51.7,53.19,64.77,59.67,,56.01,96.38,75.75,75.58,8.7,32.79,51.05
Lateral,-3 MD,max,6700.18140595201,2840.01733398438,585.400390061775,361.406070025968,21.5224285945952,855.99552448836,5.63509685686642,2821.0,2827.0,24.0,0.101840868631949,15162.0,49.0,42.64,62.93,80.71,55.81,50.64,91.93,75.98,75.71,150.0,122.75,54.39
Lateral,-3 MD,min,3729.89398555606,1477.18505859375,41.738843758682,0.0,0.0,440.498415177523,3.60060187401595,1583.0,1612.0,-25.0,-0.0367445321742738,6862.0,203.97,169.8,237.34,,,202.36,106.85,384.22,381.99,64.1,193.04,
Lateral,-3 MD,p75,5927.89376136677,2288.67504882813,412.16263537952,158.234146251545,0.0,716.991641308823,4.9680932377926,2575.0,2611.0,7.0,0.0127902329678058,11549.0,51.14,54.3,65.4,56.1,,56.38,94.87,79.04,79.87,-140.0,75.36,54.69
Lateral,-3 MD,p90,6275.66761154162,2578.01538085938,482.606950906896,215.422621769522,0.0,753.996828567218,5.12677169909783,2716.0,2737.0,12.0,0.0260307897696327,12298.0,52.43,57.24,64.63,64.81,,52.67,88.62,79.09,79.47,600.0,77.59,49.97
Lateral,-3 MD,p95,6535.22763295329,2667.18969726563,531.363854752225,235.332954632762,11.4917781892465,784.676554245033,5.28692353654791,2770.0,2799.0,20.0,0.0358262340598468,12881.0,54.49,56.96,66.24,65.04,94.47,51.96,89.5,79.69,80.11,400.0,96.47,48.36
Lateral,-4 MD,mean,6205.996696355505,2393.709358059633,381.2316199804155,152.0540211142982,0.7815250257309572,771.0917597402914,4.5639399811663885,2561.8979591836733,2576.2244897959185,-3.857142857142857,0.004384185522728467,11669.551020408164,67.74,69.38,78.5,74.43,45.59,73.22,93.0,97.65,97.74,28.25,42.17,67.68
Lateral,-4 MD,median,6092.04292875983,2361.37451171875,369.794977765799,140.947517915919,0.0,758.071441930911,4.48519356373186,2550.0,2572.0,-4.0,0.00479474778806551,11634.0,56.62,60.89,72.84,67.92,,64.69,93.77,81.78,82.09,34.78,73.82,60.11
Lateral,-4 MD,max,8305.00488474432,3385.91186523438,678.081889604497,344.997337783617,15.6438475676856,1063.54944612491,5.82452012069196,3376.0,3420.0,25.0,0.0348924264463418,15812.0,60.73,50.84,72.89,77.05,40.56,62.92,95.02,90.92,91.59,156.25,42.06,56.72
Lateral,-4 MD,min,3686.9747189621,1555.90197753906,145.423549322475,27.9112516546292,0.0,378.533517705426,4.00920870328192,2113.0,2100.0,-34.0,-0.0537055578581505,7436.0,201.62,178.85,826.93,,,173.89,118.98,512.86,497.63,87.18,282.14,
Lateral,-4 MD,p75,6520.1612271719,2618.24145507813,454.308924742662,186.946459715238,0.0,847.938946955107,4.83062282555834,2703.0,2715.0,5.0,0.0166229694146666,12898.0,56.25,62.12,72.09,66.28,,66.68,92.25,82.97,83.05,-100.0,97.94,61.08
Lateral,-4 MD,p90,7290.54467172621,2984.08447265625,549.671555730742,247.993680630767,0.0,936.978288924062,5.10606901262344,2897.0,2924.0,9.0,0.0249058059677808,13983.0,60.91,66.25,73.61,74.61,,65.45,88.26,84.36,84.9,450.0,74.23,56.81
Lateral,-4 MD,p95,7825.29466147826,3066.3876953125,599.705888972726,314.430345467057,10.8091443118283,992.197527248049,5.25211263435457,3190.0,3201.0,17.0,0.029073111632611,15172.0,65.25,65.48,74.76,86.9,88.86,65.7,88.91,91.77,91.61,340.0,78.29,56.96
Lateral,-1 MD,mean,2972.2937944706714,1370.0025531814774,75.46130303804792,24.02491496483993,0.0,355.2819560264374,4.42050173909952,1767.0481927710844,1776.433734939759,-0.8674698795180723,0.013012836924483937,6158.048192771084,32.44,39.71,15.54,11.76,0.0,33.74,90.08,67.36,67.4,6.35,125.17,35.72
Lateral,-1 MD,median,2922.82050518883,1362.95861816406,65.3826904974675,16.9752841477153,0.0,360.531086048581,4.39850181077767,1651.0,1655.0,-1.0,0.0103185625103406,5989.0,27.17,35.15,12.88,8.18,,30.77,91.96,52.95,52.82,8.7,158.87,30.94
Lateral,-1 MD,max,3918.70848636085,1955.2099609375,381.444471321627,171.432531400685,0.0,480.416765310767,6.41378350631155,2426.0,2438.0,22.0,0.0806547226204086,9158.0,28.66,29.36,41.0,38.29,0.0,28.42,104.63,65.34,65.29,137.5,97.21,32.85
